"USER","photos","end","start","days","seconds","years","between"
"14db519757d813c2da0c8e24fc2dbca0",320,2019-08-04,2006-01-15,4949,1170687.47433265,14,2019-08-04 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-07-27,2006-01-15,4941,1168795.07186858,14,2019-07-27 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-07-17,2006-01-15,4931,1166429.5687885,14,2019-07-17 UTC--2006-01-15 UTC
"914222bd7c4aa4a77bda520574543d2c",9,2018-08-27,2005-03-13,4915,1162644.76386037,13,2018-08-27 UTC--2005-03-13 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-06-02,2006-01-15,4886,1155784.80492813,13,2019-06-02 UTC--2006-01-15 UTC
"192b3985064b137890eb3737348fecc8",121,2019-09-04,2006-04-24,4881,1154602.05338809,13,2019-09-04 UTC--2006-04-24 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-05-04,2006-01-15,4857,1148924.84599589,13,2019-05-04 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-04-23,2006-01-15,4846,1146322.7926078,13,2019-04-23 UTC--2006-01-15 UTC
"753155953699eaf212109ec998b4d168",126,2018-04-02,2005-01-04,4836,1143957.28952772,13,2018-04-02 UTC--2005-01-04 UTC
"753155953699eaf212109ec998b4d168",126,2018-04-01,2005-01-04,4835,1143720.73921971,13,2018-04-01 UTC--2005-01-04 UTC
"28f618c02bd1453fdf625c68c0a13937",7,2020-10-25,2007-08-01,4834,1143484.1889117,13,2020-10-25 UTC--2007-08-01 UTC
"753155953699eaf212109ec998b4d168",126,2018-03-31,2005-01-04,4834,1143484.1889117,13,2018-03-31 UTC--2005-01-04 UTC
"753155953699eaf212109ec998b4d168",126,2018-03-30,2005-01-04,4833,1143247.6386037,13,2018-03-30 UTC--2005-01-04 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2017-04-24,2004-01-31,4832,1143011.08829569,13,2017-04-24 UTC--2004-01-31 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-03-30,2006-01-15,4822,1140645.58521561,13,2019-03-30 UTC--2006-01-15 UTC
"0154244228addba5c5308ddf97976d94",99,2018-02-03,2004-11-26,4817,1139462.83367556,13,2018-02-03 UTC--2004-11-26 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2017-03-31,2004-01-31,4808,1137333.88090349,13,2017-03-31 UTC--2004-01-31 UTC
"c8516f221ffbefb809148bf09a7beace",938,2019-06-02,2006-04-30,4781,1130947.02258727,13,2019-06-02 UTC--2006-04-30 UTC
"a94939b978957125ff615d9fba47b1ea",126,2018-09-11,2005-08-16,4774,1129291.17043121,13,2018-09-11 UTC--2005-08-16 UTC
"a94939b978957125ff615d9fba47b1ea",126,2018-09-10,2005-08-16,4773,1129054.6201232,13,2018-09-10 UTC--2005-08-16 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2018-06-08,2005-06-17,4739,1121011.90965092,13,2018-06-08 UTC--2005-06-17 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2016-12-27,2004-01-31,4714,1115098.15195072,13,2016-12-27 UTC--2004-01-31 UTC
"92487a5dd1e35c2b1b02d2694f89101a",88,2018-06-02,2005-07-09,4711,1114388.50102669,13,2018-06-02 UTC--2005-07-09 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-11-11,2006-01-15,4683,1107765.09240246,13,2018-11-11 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-11-09,2006-01-15,4681,1107291.99178645,13,2018-11-09 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-11-07,2006-01-15,4679,1106818.89117043,13,2018-11-07 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-10-08,2006-01-15,4649,1099722.38193018,13,2018-10-08 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-09-21,2006-01-15,4632,1095701.02669405,13,2018-09-21 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-09-19,2006-01-15,4630,1095227.92607803,13,2018-09-19 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-09-15,2006-01-15,4626,1094281.724846,13,2018-09-15 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-09-09,2006-01-15,4620,1092862.42299795,13,2018-09-09 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-09-06,2006-01-15,4617,1092152.77207392,13,2018-09-06 UTC--2006-01-15 UTC
"52b2a0e4cbd149be9e25ebbe9be17ab4",105,2020-09-13,2008-02-05,4604,1089077.61806982,13,2020-09-13 UTC--2008-02-05 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-08-22,2006-01-15,4602,1088604.5174538,13,2018-08-22 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-08-12,2006-01-15,4592,1086239.01437372,13,2018-08-12 UTC--2006-01-15 UTC
"92487a5dd1e35c2b1b02d2694f89101a",88,2018-01-29,2005-07-09,4587,1085056.26283368,13,2018-01-29 UTC--2005-07-09 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-08-01,2006-01-15,4581,1083636.96098563,13,2018-08-01 UTC--2006-01-15 UTC
"28f618c02bd1453fdf625c68c0a13937",7,2020-02-15,2007-08-01,4581,1083636.96098563,13,2020-02-15 UTC--2007-08-01 UTC
"4d04bf52a980f6b84a604df06244b788",70,2018-09-15,2006-03-01,4581,1083636.96098563,13,2018-09-15 UTC--2006-03-01 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-07-30,2006-01-15,4579,1083163.86036961,13,2018-07-30 UTC--2006-01-15 UTC
"52b2a0e4cbd149be9e25ebbe9be17ab4",105,2020-08-15,2008-02-05,4575,1082217.65913758,13,2020-08-15 UTC--2008-02-05 UTC
"e5fc280babda7a02a555199e350aa6b6",27,2019-07-22,2007-01-11,4575,1082217.65913758,13,2019-07-22 UTC--2007-01-11 UTC
"e5fc280babda7a02a555199e350aa6b6",27,2019-07-21,2007-01-11,4574,1081981.10882957,13,2019-07-21 UTC--2007-01-11 UTC
"e5fc280babda7a02a555199e350aa6b6",27,2019-07-20,2007-01-11,4573,1081744.55852156,13,2019-07-20 UTC--2007-01-11 UTC
"28f618c02bd1453fdf625c68c0a13937",7,2020-01-25,2007-08-01,4560,1078669.40451745,12,2020-01-25 UTC--2007-08-01 UTC
"0154244228addba5c5308ddf97976d94",99,2017-05-16,2004-11-26,4554,1077250.1026694,12,2017-05-16 UTC--2004-11-26 UTC
"0154244228addba5c5308ddf97976d94",99,2017-05-06,2004-11-26,4544,1074884.59958932,12,2017-05-06 UTC--2004-11-26 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2016-07-04,2004-01-31,4538,1073465.29774127,12,2016-07-04 UTC--2004-01-31 UTC
"52b2a0e4cbd149be9e25ebbe9be17ab4",105,2020-06-03,2008-02-05,4502,1064949.48665298,12,2020-06-03 UTC--2008-02-05 UTC
"0154244228addba5c5308ddf97976d94",99,2017-02-12,2004-11-26,4461,1055250.92402464,12,2017-02-12 UTC--2004-11-26 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2018-03-22,2006-01-15,4449,1052412.32032854,12,2018-03-22 UTC--2006-01-15 UTC
"c8516f221ffbefb809148bf09a7beace",938,2018-06-30,2006-04-30,4444,1051229.5687885,12,2018-06-30 UTC--2006-04-30 UTC
"9edfc1b7df37e7ac89da873ec06ad57f",134,2020-09-13,2008-07-16,4442,1050756.46817248,12,2020-09-13 UTC--2008-07-16 UTC
"0154244228addba5c5308ddf97976d94",99,2017-01-21,2004-11-26,4439,1050046.81724846,12,2017-01-21 UTC--2004-11-26 UTC
"9edfc1b7df37e7ac89da873ec06ad57f",134,2020-09-05,2008-07-16,4434,1048864.06570842,12,2020-09-05 UTC--2008-07-16 UTC
"162921a1bb29348cac71dbb416707056",95,2020-09-13,2008-08-16,4411,1043423.40862423,12,2020-09-13 UTC--2008-08-16 UTC
"ffc4baffe9f3165fabc8beee8c7fc2b4",854,2020-08-21,2008-07-26,4409,1042950.30800821,12,2020-08-21 UTC--2008-07-26 UTC
"ffc4baffe9f3165fabc8beee8c7fc2b4",854,2020-08-19,2008-07-26,4407,1042477.2073922,12,2020-08-19 UTC--2008-07-26 UTC
"a94939b978957125ff615d9fba47b1ea",126,2017-08-29,2005-08-16,4396,1039875.15400411,12,2017-08-29 UTC--2005-08-16 UTC
"599f1e2e432caa0b50ce684eddab5502",2,2018-09-15,2006-09-10,4388,1037982.75154004,12,2018-09-15 UTC--2006-09-10 UTC
