"USER","Biosfera Val Müstair","Jurapark Aargau","Landschaftspark Binntal","Naturpark Beverin","Naturpark Diemtigtal","Naturpark Gantrisch","Naturpark Pfyn-Finges","Naturpark Thal","Parc du Doubs","Parc Ela","Parc Jura vaudois","Parc naturel périurbain du Jorat","Parc naturel régional de la Vallée du Trient","Parc naturel régional Gruyère Pays-d’Enhaut","Parc régional Chasseral","Parco Val Calanca","Regionaler Naturpark Schaffhausen","Schweizerischer Nationalpark","UNESCO Biosphäre Entlebuch","Wildnispark Zürich Sihlwald","Total_Park"
"0460e8898c1ceb946acf0e0c8f6e9d6c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"04a47e2b4c5d2b4956a5211b651938d6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"05b2cd8d1914fbe8cb3d99dee7f76c2d",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"07f39120a0e83f8da7909a497f82bc72",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0ae7cd77ffb9b5efc12eb5565d4ce275",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0c777f4e713ac275d44b2c5195be68fc",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0ccc46598ca49b8de442da90c42da36f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0ea5a0a61cc3da460cd089cfe368a2a5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1192bc4d2f680fbf5eec28162bbd9034",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15ebc9d9875be24771ba27b81e1cd661",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17cc6c39b0d31e0951f6e6456d50abb8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1d19552a0e34d85874e57b94111c4e80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1f3c404309f762f59593974068c8b62f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1f6280d5a86d4226b725ff5d25375e49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20d1935e33523e19a1f128ae01919533",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"236ec7ea7f8bb12a62053bd44d2dd1ac",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"253fc06fd46f12130f7257f6c60a1909",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26834c8f88e02e2437048e3899c78dc2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2702a12c38b9ec1320d566c652059ac4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"29e61c5c33c4788185c6c0da572d92b6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2eb2ad77b9a525218c84eb1db98bbc64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2f511e754b95682eff5221895051e911",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31f3c57bb291cceca3aa44ff6b34b65c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3275f1875b91ca7623462ad79c733a9a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"35ab3c9499296959f0ed88c84c485309",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3a004e889824e71e815ea21e2da94440",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3c1fbbc010bad70dc67bcb62645e6efd",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3e6678187fb207c9eb7a8c6863c498ed",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3f960cf0c76945d0afc68015a30d0e39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"420cb6ebd9bc1a75549997afd402477f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4830d297ba363ba24d5de7d911fb5d09",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4e1e1148ad8dea1821db8a2191731206",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5302352abb821bdf37706ba29d47459c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"551d7be24e89e138e43b8508a9689921",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"56403388c07089b20a2046b0efac3ad0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"57130b00ac81097fbd4c681d2468352b",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"57613cd3980eea68f7671aff5d1072ac",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5be82b5ad983ed85347d9550999796a1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5c422ea308fb2cb9082dc26ea60cb927",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5fb8295b1d441e6958735a2b0837853c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
